a,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen"
vest,"n. a man's sleeveless garment worn underneath a coat
v. place (authority, property, or rights) in the control of a person or group of persons
v. become legally vested
v. clothe oneself in ecclesiastical garments"
vice versa,none
victim,"n. an unfortunate person who suffers from some adverse circumstance
n. a person who is tricked or swindled"
victory,n. a successful ending of a struggle or contest
video,"n. the visible part of a television transmission
n. (computer science) the appearance of text and graphics on a video display"
videotape,"n. a video recording made on magnetic tape
n. a relatively wide magnetic tape for use in recording visual images and associated sound
v. record on videotape"
view,"n. the visual percept of a region
n. the act of looking or seeing or observing
n. the range of the eye
n. purpose; the phrase `with a view to' means `with the intention of' or `for the purpose of'"
vigour,"n forceful exertion
n active strength of body or mind
n an imaginative lively style (especially style of writing)"
villa,"n. Mexican revolutionary leader (1877-1923)
n. detached or semidetached suburban house
n. country house in ancient Rome consisting of residential quarters and farm buildings around a courtyard
n. pretentious and luxurious country residence with extensive grounds"
village,"n. a community of people smaller than a town
n. a settlement smaller than a town"
vine,"n. a plant with a weak stem that derives support from climbing, twining, or creeping along a surface"
vinegar,"n. sour-tasting liquid produced usually by oxidation of the alcohol in wine or cider and used as a condiment or food preservative
n. dilute acetic acid"
violence,"n. an act of aggression (as one against a person who resists)
n. a turbulent state resulting in injuries and destruction etc."
violent,"a. acting with or marked by or resulting from great force or energy or emotional intensity
s. effected by force or injury rather than natural causes
s. (of colors or sounds) intensely vivid or loud"
violin,n. bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow
virtue,"n. the quality of doing what is right and avoiding what is wrong
n. morality with respect to sexual relations
n. a particular moral excellence"
virtual,"s. being actually such in almost every respect
s. existing in essence or effect though not in actual fact"
virus,"n. (virology) ultramicroscopic infectious agent that replicates itself only within cells of living hosts; many are pathogenic; a piece of nucleic acid (DNA or RNA) wrapped in a thin coat of protein
n. a harmful or corrupting agency
n. a software program capable of reproducing itself and usually capable of causing great harm to files or other programs on the same computer"
visa,"n. an endorsement made in a passport that allows the bearer to enter the country issuing it
v. provide (a passport) with a visa
v. approve officially"
visible,"a. capable of being seen; or open to easy view
s. obvious to the eye
s. present and easily available"
vision,"n. a vivid mental image
n. the perceptual experience of seeing
n. a religious or mystical experience of a supernatural appearance"
visit,"n. the act of going to see some person or place or thing for a short time
n. a meeting arranged by the visitor to see someone (such as a doctor or lawyer) for treatment or advice
n. the act of visiting in an official capacity (as for an inspection)
n. the act of going to see some person in a professional capacity"
visiting,n. the activity of making visits
vital,"s. performing an essential function in the living body
s. manifesting or characteristic of life"
vitality,n. an energetic style
vitamin,n. any of a group of organic substances essential in small quantities to normal metabolism
vivid,s. having the clarity and freshness of immediate experience
vocabulary,"n. a listing of the words used in some enterprise
n. a language user's knowledge of words
n. the system of techniques or symbols serving as a means of expression (as in arts or crafts)"
