looter,n someone who takes spoils or plunder (as in war)
buff,"n. a soft thick undyed leather from the skins of e.g. buffalo or oxen
n. bare skin; naked
n. an implement consisting of soft material mounted on a block; used for polishing (as in manicuring)
v. polish and make shiny"
polyp,"n. a small vascular growth on the surface of a mucous membrane
n. one of two forms that coelenterates take (e.g. a hydra or coral): usually sedentary with a hollow cylindrical body usually with a ring of tentacles around the mouth"
fallow,"n. cultivated land that is not seeded for one or more growing seasons
s. left unplowed and unseeded during a growing season
s. undeveloped but potentially useful"
heartbroken,s full of sorrow
runny,s characteristic of a fluid; capable of flowing and easily changing shape
unfaithful,"a. not true to duty or obligation or promises
a. having sexual relations with someone other than your husband or wife, or your boyfriend or girlfriend
s. not trustworthy"
unquestioned,s generally agreed upon; not subject to dispute
video-game,none
causation,n the act of causing something to happen
pessimist,n. a person who expects the worst
deformation,n. alteration in the shape or dimensions of an object as a result of the application of stress to it
uncertainly,r. showing lack of certainty
self-perception,none
wrecked,s. destroyed in an accident
dragonfly,n. slender-bodied non-stinging insect having iridescent wings that are outspread at rest; adults and nymphs feed on mosquitoes etc.
angling,n. fishing with a hook and line (and usually a pole)
anti-communist,none
stand-in,n. someone who takes the place of another (as when things get dangerous or difficult)
earphone,n. electro-acoustic transducer for converting electric signals into sounds; it is held over or inserted into the ear
run-in,n an angry dispute
coo,"n. the sound made by a pigeon
v. speak softly or lovingly
v. cry softly, as of pigeons"
washcloth,n. bath linen consisting of a piece of cloth used to wash the face and body
convoluted,"v curl, wind, or twist together
v practice sophistry; change the meaning of or be vague about in order to mislead or deceive
s rolled longitudinally upon itself
s highly complex or intricate and occasionally devious"
aegis,"n kindly endorsement and guidance
n armor plate that protects the chest; the front part of a cuirass"
horseradish,"n. the root of the horseradish plant; it is grated or ground and used for seasoning
n. coarse Eurasian plant cultivated for its thick white pungent root
n. grated horseradish root"
friendly,"n. troops belonging to or allied with your own military forces
a. characteristic of or befitting a friend
s. inclined to help or support; not antagonistic or hostile
a. easy to understand or use"
juggernaut,"n. a massive inexorable force that seems to crush everything in its way
n. a crude idol of Krishna"
platelet,n. tiny bits of protoplasm found in vertebrate blood; essential for blood clotting
polarity,n. having an indicated pole (as the distinction between positive and negative electric charges)
italics,"n a style of handwriting with the letters slanting to the right
n a branch of the Indo-European languages of which Latin is the chief representative
n a typeface with letters slanting upward to the right"
cropped,s. (of land or soil) used for growing crops
fascinated,s. having your attention fixated as though by a spell
spar,"n. any of various nonmetallic minerals (calcite or feldspar) that are light in color and transparent or translucent and cleavable
n. a stout rounded pole of wood or metal used to support rigging
n. making the motions of attack and defense with the fists and arms; a part of training for a boxer
v. furnish with spars"
muscle,"n. one of the contractile organs of the body
n. animal tissue consisting predominantly of contractile cells
n. authority or power or force (especially when used in a coercive way)
v. make one's way by force"
hard-earned,none
aggrieved,"v infringe on the rights of
v cause to feel sorrow"
restorative,"n a medicine that strengthens and invigorates
n a device for treating injury or disease
s tending to impart new life and vigor to
s promoting recuperation"
suitability,n. the quality of having the properties that are right for a specific purpose
pucker,"n. an irregular fold in an otherwise even surface (as in cloth)
v. to gather something into small wrinkles or folds
v. become wrinkled or drawn together"
furnished,a. provided with whatever is necessary for a purpose (as furniture or equipment or authority)
stringy,"s. lean and sinewy
s. consisting of or containing string or strings"
nakedness,n. the state of being without clothing or covering of any kind
superbly,r (used as an intensifier) extremely well
militancy,n a militant aggressiveness
tutelage,n. teaching pupils individually (usually by a tutor hired privately)
bloodless,"s. destitute of blood or apparently so
a. free from blood or bloodshed
s. without vigor or zest or energy"
resumption,n. beginning again
unabashed,s. not embarrassed
quash,"v put down by force or intimidation
v declare invalid"
Bosnian,a. of or relating to or characteristic of Bosnia-Herzegovina or the people of Bosnia
lupus,"n. any of several forms of ulcerative skin disease
n. a constellation in the southern hemisphere near Centaurus"
negativity,"n. the character of the negative electric pole
n. characterized by habitual skepticism and a disagreeable tendency to deny or oppose or resist suggestions or commands
n. an amount less than zero"
graduated,"v receive an academic degree upon completion of one's studies
v confer an academic degree upon
v make fine adjustments or divide into marked intervals for optimal measuring
a marked with or divided into degrees
s taking place by degrees"
grammatical,"a. of or pertaining to grammar
a. conforming to the rules of grammar or usage accepted by native speakers"
hijacking,"n robbery of a traveller or vehicle in transit or seizing control of a vehicle by the use of force
v take arbitrarily or by force
v seize control of"
