acrobatics,"n. the gymnastic moves of an acrobat
n. the performance of stunts while in flight in an aircraft"
playwright,n someone who writes plays
juvenile,"n. a young person, not fully developed
a. of or relating to or characteristic of or appropriate for children or young people"
audition,"n. a test of the suitability of a performer
v. perform in order to get a role"
clown,"n. a rude or vulgar fool
n. a person who amuses others by ridiculous behavior
v. act as or like a clown"
box office,none
historical play,none
one-act play,none
many-act play,none
musical comedy,none
soap opera,none
dress rehearsal,none
run-in,n an angry dispute
special performance,none
road show,none
long-running play,none
title role,none
positive role,none
male supporting role,none
female supporting role,none
minor part,none
walking part,none
transformation scene,none
curtain call,none
protocol of the curtain calls,none
drop scene,none
walk-through,"n. a thorough explanation (usually accompanied by a demonstration) of each step in a procedure or process
n. a pedestrian passageway through the ground floor of a building
n. a first perfunctory rehearsal of a theatrical production in which actors read their lines from the script and move as directed"
television camera,none
wide-angle lens,none
zoom lens,none
open-air theatre,none
arena theatre,none
experimental theatre,none
revolving stage,none
theater-in-the-round,none
theatrical costume,none
stage setting,none
sky cloth,none
dressing room,none
stage photo,none
stage name,none
box office,none
privileged ticket,none
concert season ticket,none
front row ticket,none
back row ticket,none
ticket stub,none
ticket tout,none
orchestra pit,none
emergency exit,none
theatre-goer,n someone who attends the theater
first nighter,n. someone habitually a spectator at the openings of theatrical productions
amateur performer,none
theatre fan,none
standing ovation,none
make cat-calls,none
show handclap,none
stage critic,none
stage actor,none
stage actress,none
stage director,none
dramatic personae,none
stage effect,none
stage fright,none
stage-wait,none
Beijing opera,none
painted face type,none
warrior role,none
female warrior role,none
film studio,none
film dubbing studio,none
film a novel,none
make a film,none
start filming,none
screen test,none
doll,n. a small replica of a person; used as a toy
Barbie,none
stuffed animal,none
transformer,n. an electrical device by which alternating current of one voltage is changed to another voltage
teddy bear,none
magic cube,none
toy gun,none
develop their intelligence,none
afford toys,none
play with toys,none
develop their wit and ability,none
brand,"n. a recognizable kind
n. identification mark on skin, made by burning
n. a piece of wood that has been burned or is burning
v. burn with a branding iron to indicate ownership; of animals"
safety,"n. the state of being certain that adverse effects will not be caused by some agent under defined conditions
n. a safe place
n. a score in American football; a player is tackled behind his own goal line"
suburb,n. a residential district located on the outskirts of a city
healthy,"a. having or indicating good health in body or mind; free from infirmity or disease
s. financially secure and functioning well
s. promoting health; healthful
s. exercising or showing good judgment"
lane,"n. a narrow way or road
n. a well-defined track or path; for e.g. swimmers or lines of traffic"
consumer,n. a person who uses goods or services
pedestrian,"n. a person who travels by foot
s. lacking wit or imagination"
exit,"n. an opening that permits escape or release
n. the act of going out
v. move out of or depart from
v. lose the lead"
crossing,"n. traveling across
n. a point where two lines (paths or arcs etc.) intersect
n. a path (often marked) where something (as a street or railroad) can be crossed to get from one side to the other
n. a voyage across a body of water (usually across the Atlantic Ocean)"
parking,"n. space in which vehicles can be parked
n. the act of maneuvering a vehicle into a location where it can be left temporarily"
thief,n. a criminal who takes property belonging to someone else with the intention of keeping it or selling it
economical,s. avoiding waste
streamlined,"s. made efficient by stripping off nonessentials
s. designed or arranged to offer the least resistant to fluid flow"
stereo system,none
black car,none
