finale,"n. the closing section of a musical composition
n. the concluding part of any performance"
willful,s. done by design
zip,"n a quantity of no importance
n a code of letters and digits added to a postal address to aid in the sorting of mail
n forceful exertion
n a fastener for locking together two toothed edges by means of a sliding tab
v close with a zipper
v move very fast"
miserably,r. in a miserable manner
garrison,"n. a fortified military post where troops are stationed
n. United States abolitionist who published an anti-slavery journal (1805-1879)
n. the troops who maintain and guard a fortified place
v. station (troops) in a fort or garrison"
resonant,s. characterized by resonance
unspeakable,"s defying expression or description
s exceptionally bad or displeasing
s too sacred to be uttered"
turquoise,n. a blue to grey green mineral consisting of copper aluminum phosphate
MP,"n a member of the military police who polices soldiers and guards prisoners
n a military corps that enforces discipline and guards prisoners"
patty,"n. small flat mass of chopped food
n. small pie or pasty
n. round flat candy"
ethically,r. in an ethical manner; from an ethical point of view; according to ethics
reckoning,n. a bill for an amount due
negligent,a. characterized by neglect and undue lack of concern
loyalist,n. a person who is loyal to their allegiance (especially in times of revolt)
half-century,n. a period of 50 years
far-flung,"s. distributed over a considerable extent
s. remote"
bastion,"n. a group that defends a principle
n. a stronghold into which people could go for shelter during a battle
n. projecting part of a rampart or other fortification"
grudge,"n. a resentment strong enough to justify retaliation
v. accept or admit unwillingly"
calibrate,"v. make fine adjustments or divide into marked intervals for optimal measuring
v. mark (the scale of a measuring instrument) so that it can be read in the desired units
v. measure the caliber of"
antagonism,"n. the relation between opposing principles or forces or factors
n. an actively expressed feeling of dislike and hostility
n. (biochemistry) interference in or inhibition of the physiological action of a chemical substance by another having a similar structure"
deepening,"n. a process of becoming deeper and more profound
s. accumulating and becoming more intense"
perspiration,"n. salty fluid secreted by sweat glands
n. the process of the sweat glands of the skin secreting a salty fluid"
self-sufficiency,n personal independence
hail,"n. precipitation of ice pellets when there are strong rising air currents
n. many objects thrown forcefully through the air
n. enthusiastic greeting
v. be a native of"
self-employed,a working for yourself
lanky,"s tall and thin and having long slender limbs
s tall and thin"
galvanize,"v. cover with zinc
v. stimulate (muscles) by administering a shock"
afterlife,n. life after death
susceptibility,n. the state of being susceptible; easily affected
inconclusive,a. not conclusive; not putting an end to doubt or question
back-to-back,s. one after the other
morph,"v. cause to change shape in a computer animation
v. change shape as via computer animation"
outcast,n. a person who is rejected (from society or home)
buoy,"n. bright-colored; a float attached by rope to the seabed to mark channels in a harbor or underwater hazards
v. float on the surface of water
v. keep afloat
v. mark with a buoy"
disobedience,"n. the failure to obey
n. the trait of being unwilling to obey"
regroup,v. reorganize into new groups
retrieval,"n. (computer science) the operation of accessing information from the computer's memory
n. the cognitive operation of accessing information in memory"
arched,a. constructed with or in the form of an arch or arches
glacial,a. relating to or derived from a glacier
manly,a. possessing qualities befitting a man
bibliography,n. a list of writings with time and place of publication (such as the writings of a single author or the works referred to in preparing a document etc.)
vat,n. a tax levied on the difference between a commodity's price before taxes and its cost of production
elemental,"a. relating to or being an element
a. relating to severe atmospheric conditions"
mishap,n. an instance of misfortune
blot,"n. an act that brings discredit to the person who does it
v. dry (ink) with blotting paper"
meek,"s. humble in spirit or manner; suggesting retiring mildness or even cowed submissiveness
s. very docile
s. evidencing little spirit or courage; overly submissive or compliant"
tailored,s. severely simple in line or design
libertarian,"n. an advocate of libertarianism
n. someone who believes the doctrine of free will"
itch,"n. an irritating cutaneous sensation that produces a desire to scratch
v. have or perceive an itch
v. cause to perceive an itch
v. have a strong desire or urge to do something"
chubby,s. sufficiently fat so as to have a pleasing fullness of figure;
aromatic,"a. (chemistry) of or relating to or containing one or more benzene rings
s. having a strong pleasant odor"
florist,"n. someone who grows and deals in flowers
n. a shop where flowers and ornamental plants are sold"
bravely,r. in a courageous manner
left-hand,s. located on or directed toward the left
scorch,"n. a surface burn
n. a plant disease that produces a browning or scorched appearance of plant tissues
n. a discoloration caused by heat
v. become superficially burned"
