abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
assign,"v. give out
v. select something or someone for a specific purpose
v. transfer one's right to
v. decide as to where something belongs in a scheme"
calculate to three decimal places,none
cancellation,"n. the act of cancelling; calling off some arrangement
n. the speech act of revoking or annulling or making void"
clear an equation of fractions,none
combination,"n. a collection of things that have been combined; an assemblage of separate parts or qualities
n. a coordinated sequence of chess moves
n. a sequence of numbers or letters that opens a combination lock
n. a group of people (often temporary) having a common purpose"
factorial notation,none
permutations,"n. an event in which one thing is substituted for another
n. the act of changing the arrangement of a given number of elements
n. complete change in character or condition"
add,"v. make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of
v. state or say further
v. make an addition by combining numbers
v. constitute an addition"
plus,"a. on the positive side or higher end of a scale
s. involving advantage or good"
aliquant,n. an integer that is not an exact divisor of some quantity
aliquot,"n. an integer that is an exact divisor of some quantity
s. signifying an exact divisor or factor of a quantity"
amount to,none
cross multiply,none
decimal arithmetic,none
decrease by,none
decrease to,none
decrease,"n. a change downward
n. a process of becoming smaller or shorter
n. the amount by which something decreases
n. the act of decreasing or reducing something"
deduct,"v make a subtraction
v retain and refrain from disbursing; of payments
v reason by deduction; establish by deduction"
difference,"n. the quality of being unlike or dissimilar
n. a significant change"
divide,"n. a serious disagreement between two groups of people (typically producing tension or hostility)
v. separate into parts or portions
v. perform a division"
divided evenly,none
dividend,"n. that part of the earnings of a corporation that is distributed to its shareholders; usually paid quarterly
n. a number to be divided by another number
n. a bonus; something extra (especially a share of a surplus)"
divisible,a. capable of being or liable to be divided or separated
division,"n. an army unit large enough to sustain combat
n. the act or process of dividing
n. an administrative unit in government or business
n. discord that splits a group"
factorial,"n. the product of all the integers up to and including a given integer
a. of or relating to factorials"
factorization,n. (mathematics) the resolution of an entity into factors such that when multiplied together they give the original entity
increase by,none
increase to,none
increase,"n. a change resulting in an increase
n. a process of becoming larger or longer or more numerous or more important
n. the amount by which something increases
n. the act of increasing something"
minuend,n. the number from which the subtrahend is subtracted
minus,"a. on the negative side or lower end of a scale
s. involving disadvantage or harm"
multiplicand,n. the number that is multiplied by the multiplier
multiplication,"n. a multiplicative increase
n. an arithmetic operation that is the inverse of division; the product of two numbers is computed"
multiplier,n. the number by which a multiplicand is multiplied
multiply,"v. combine by multiplication
v. combine or increase by multiplication
r. in several ways; in a multiple manner"
times,n. a more or less definite period of time now or previously present
subtract,"v. make a subtraction
v. take off or away"
minus,"a. on the negative side or lower end of a scale
s. involving disadvantage or harm"
sum,"n. a quantity of money
n. a quantity obtained by the addition of a group of numbers
n. the final aggregate
n. the whole amount"
total,"v. add up in number or quantity
v. determine the sum of
v. damage beyond the point of repair"
centigrade,a. of or relating to a temperature scale on which the freezing point of water is 0 degrees and the boiling point of water is 100 degrees
centimeter,n. a metric unit of length equal to one hundredth of a meter
cubic meter,none
dime,n. a United States coin worth one tenth of a dollar
dozen,"n the cardinal number that is the sum of eleven and one
s denoting a quantity consisting of 12 items or units"
Fahrenheit,"n. German physicist who invented the mercury thermometer and developed the scale of temperature that bears his name (1686-1736)
a. of or relating to a temperature scale proposed by the inventor of the mercury thermometer"
