abroad,"s. in a foreign country
r. to or in a foreign country"
sanguinary,"s accompanied by bloodshed
s marked by eagerness to resort to violence and bloodshed"
sanitary,a. free from filth and pathogens
sanity,n. normal or sound powers of mind
sap,"n. a watery solution of sugars, salts, and minerals that circulates through the vascular system of a plant
v. excavate the earth beneath"
sapling,n. young tree
sarcasm,n. witty language used to convey insults or scorn
sardine,"n. small fatty fish usually canned
n. any of various small edible herring or related food fishes frequently canned"
satanic,a. of or relating to Satan
satchel,n. luggage consisting of a small case with a flat bottom and (usually) a shoulder strap
satin,n. a smooth fabric of silk or rayon; has a glossy face and a dull back
satirical,s. exposing human folly to ridicule
satirize,v. ridicule with satire
satirise,v ridicule with satire
satirist,n. a humorist who uses ridicule and irony and sarcasm
satisfaction,"n. the contentment one feels when one has fulfilled a desire, need, or expectation
n. (law) the payment of a debt or fulfillment of an obligation
n. act of fulfilling a desire or need or appetite"
satisfied,s. filled with satisfaction
sauce,"n. flavorful relish or dressing or topping served as an accompaniment to food
v. behave saucily or impudently towards
v. dress (food) with a relish
v. add zest or flavor to, make more interesting"
saucepan,n. a deep pan with a handle; used for stewing or boiling
sauna,n. a Finnish steam bath; steam is produced by pouring water over heated rocks
saviour,"n a teacher and prophet born in Bethlehem and active in Nazareth; his life and sermons form the basis for Christianity (circa 4 BC - AD 29)
n a person who rescues you from harm or danger"
savior,n. a person who rescues you from harm or danger
savoury,"n either of two aromatic herbs of the mint family
n an aromatic or spicy dish served at the end of dinner or as an hors d'oeuvre
a morally wholesome or acceptable
s having an agreeably pungent taste
s pleasing to the sense of taste"
savory,"n. any of several aromatic herbs or subshrubs of the genus Satureja having spikes of flowers attractive to bees
n. dwarf aromatic shrub of Mediterranean regions
n. either of two aromatic herbs of the mint family"
scaffolding,n. a system of scaffolds
scalar,"n. a variable quantity that cannot be resolved into components
a. of or relating to a musical scale
a. of or relating to a directionless magnitude (such as mass or speed etc.) that is completely specified by its magnitude"
scalp,"n. the skin that covers the top of the head
v. sell illegally, as on the black market
v. remove the scalp of"
scandalous,s giving offense to moral sensibilities and injurious to reputation
scanner,"n. someone who scans verse to determine the number and prosodic value of the syllables
n. an electronic device that generates a digital representation of an image for data input to a computer
n. a radar dish that rotates or oscillates in order to scan a broad area
n. a radio receiver that moves automatically across some selected range of frequencies looking for some signal or condition"
scapegoat,n. someone who is punished for the errors of others
scarcity,n. a small and inadequate amount
