abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
status quo," The state in which anything is already. The phrase is
   also used retrospectively, as when, on a treaty of place, matters
   return to the status quo ante bellum, or are left in statu quo ante
   bellum, i.e., the state (or, in the state) before the war."
stumbling block,none
subject to,none
take issue with,none
take over,n. a change by sale or merger in the controlling interest of a corporation
take precedence over,none
team up,none
technical merit,none
technological determinism,none
teem with,none
tough-minded,s. facing facts or difficulties realistically and with determination
trade in ... for,none
trade off,n an exchange that occurs as a compromise
transatlantic migrate,none
transnational cooperation,none
turn down,n the act of refusing an offer
upscale clientele,none
Vichy government,none
virgin soil,none
wade through,none
Wall Street,none
willy-nilly,r. without having a choice
word-of-mouth,s expressed orally
integer,n. any of the natural numbers (positive or negative) or zero
even,"v. become even or more even
v. make even or more even
a. divisible by two
s. equal in degree or extent or amount; or equally matched or balanced"
odd,"a. not divisible by two
s. not easily explained
s. an indefinite quantity more than that specified
s. of the remaining member of a pair, of socks e.g."
divisor,"n. one of two or more integers that can be exactly divided into another integer
n. the number by which a dividend is divided"
real number,none
positive whole number,none
negative whole number,none
consecutive integer,none
quotient,"n. the ratio of two quantities to be divided
n. the number obtained by division"
multiple,"n. the product of a quantity by an integer
a. having or involving or consisting of more than one part or entity or individual"
remainder,"n. something left after other parts have been taken away
n. the part of the dividend that is left over when the dividend is not evenly divisible by the divisor
n. the number that remains after subtraction; the number that when added to the subtrahend gives the minuend
v. sell cheaply as remainders"
prime number,none
prime factor,none
composite number,none
numerator,n. the dividend of a fraction
denominator,n. the divisor of a fraction
greatest common divisor,none
common multiple,none
least common multiple,none
common factor,none
reciprocal,"n. something (a term or expression or concept) that has a reciprocal relation to something else
a. concerning each of two or more persons or things; especially given or done in return
s. of or relating to the multiplicative inverse of a quantity or function"
inverse,"n. something inverted in sequence or character or effect
s. reversed (turned backward) in order or nature or effect
a. opposite in nature or effect or relation to another quantity"
mixed number,none
improper fraction,none
proper fraction,none
vulgar fraction,none
common fraction,none
simple fraction,none
complex fraction,none
decimal system,none
digit,"n. one of the elements that collectively form a system of numeration
n. a finger or toe in human beings or corresponding body part in other vertebrates"
units digit,none
tens digit,none
tenths unit,none
3-digit number,none
decimal point,none
decimal fraction,none
infinite decimal,none
recurring decimal,none
absolute value,none
nonzero number,none
natural number,none
positive number,none
negative number,none
nonnegative,s either positive or zero
rational,"a. consistent with or based on or using reason
a. capable of being expressed as a quotient of integers
s. having its source in or being guided by the intellect (as distinguished from experience or emotion)"
irrational,"a. not consistent with or using reason
a. real but not expressible as the quotient of two integers"
irrational number,none
common ratio,none
direct proportion,none
percent,n a proportion in relation to a whole (which is usually the amount per hundred)
product,"n. an artifact that has been created by someone or some process
n. a quantity obtained by multiplication
n. a chemical substance formed as a result of a chemical reaction
n. a consequence of someone's efforts or of a particular set of circumstances"
base,"n. installation from which a military force initiates operations
n. a place that the runner must touch before scoring
n. the bottom or lowest part
n. (anatomy) the part of an organ nearest its point of attachment"
power,"n. possession of controlling influence
n. (physics) the rate of doing work; measured in watts (= joules/second)
n. one possessing or exercising power or influence or authority
v. supply the force or power for the functioning of"
square root,none
common logarithm,none
radical sign,none
root sign,none
cardinal,"n. (Roman Catholic Church) one of a group of more than 100 prominent bishops in the Sacred College who advise the Pope and elect new Popes
n. a variable color averaging a vivid red
n. crested thick-billed North American finch having bright red plumage in the male
s. serving as an essential component"
ordinal,"a. of or relating to a taxonomic order
a. being or denoting a numerical order in a series"
subset,n. a set whose members are members of another set; a set contained within another set
