cent,n. a fractional monetary unit of several countries
redundant,"s more than is needed, desired, or required
s repetition of same sense in different words"
abound,"v. be abundant or plentiful; exist in large quantities
v. be in a state of movement or action"
inundate,"v. fill or cover completely, usually with water"
redound,"v. return or recoil
v. contribute
v. have an effect for good or ill"
undulate,"v. increase and decrease in volume or pitch, as if in waves
s. having a wavy margin and rippled surface"
vibrate,"v. shake, quiver, or throb; move back and forth rapidly, usually in an uncontrolled manner"
revibrate,v. i. To vibrate back or in return.
vibration,"n. the act of vibrating
n. a distinctive emotional aura experienced instinctively"
vibrant,"s. vigorous and animated
s. of sounds that are strong and resonating
s. of colors that are bright and striking"
vibrator,"n. a mechanical device that vibrates
n. mechanical device that produces vibratory motion; used for massage"
vibrancy,n having the character of a loud deep sound; the quality of being resonant
eraser,n. an implement used to erase something
razor,"n. edge tool used in shaving
v. shave with a razor"
erase,"v. remove from memory or existence
v. remove by or as if by rubbing or erasing
v. wipe out digitally or magnetically recorded information"
abrase,v wear away
abrasive,"n. a substance that abrades or wears down
s. causing abrasion"
abrade,v. wear away
raze,v tear down so as to make flat with the ground
acerbate,v. make sour or bitter
acumen,n. a tapering point
acme,n. the highest level or degree attainable; the highest stage of development
acrid,"s strong and sharp
s harsh or corrosive in tone"
acuity,n. sharpness of vision; the visual ability to resolve fine detail (usually measured by a Snellen chart)
philosophy,"n. the rational investigation of questions about existence and knowledge and ethics
n. any personal belief about how to live or how to deal with a situation"
sophistic,"a. of or pertaining to sophists
s. plausible but misleading"
pansophic,none
sophomore,"n. a second-year undergraduate
s. used of the second year in United States high school or college"
sophisticate,"n. a worldly-wise person
v. make less natural or innocent
v. alter and make impure, as with the intention to deceive"
psychologist,n. a scientist trained in psychology
psychology,n. the science of mental life
psychiatry,n. the branch of medicine dealing with the diagnosis and treatment of mental disorders
psychical,"s affecting or influenced by the human mind
s outside the sphere of physical science"
psychiatrist,n. a physician who specializes in psychiatry
psychic,"n. a person apparently sensitive to things beyond the natural range of perception
s. affecting or influenced by the human mind
s. outside the sphere of physical science"
psychal,a. Of or pertaining to the soul; psychical.
psyche,n. (Greek mythology) a beautiful princess loved by Cupid who visited her at night and told her she must not try to see him; became the personification of the soul
animal,"n. a living organism characterized by voluntary movement
s. marked by the appetites and passions of the body"
unanimous,"s in complete agreement
s acting together as a single undiversified whole"
animate,"v. give new life or energy to
a. belonging to the class of nouns that denote living beings
a. endowed with animal life as distinguished from plant life"
longanimous,s showing patient and unruffled self-control and restraint under adversity; slow to retaliate or express resentment
magnanimous,"s noble and generous in spirit
s generous and understanding and tolerant"
mortality,n. the quality or state of being mortal
immortal,"n. a person (such as an author) of enduring fame
a. not subject to death"
mortal,"a. subject to death
s. unrelenting and deadly"
immortalize,v. make famous forever
mortify,"v. practice self-denial of one's body and appetites
v. hold within limits and control"
moribund,s. being on the point of death; breathing your last
amortize,v. liquidate gradually
toxic,a. of or relating to or caused by a toxin or poison
toxin,n. a poisonous substance produced during the metabolism and growth of certain microorganisms and some higher plant and animal species
detoxify,v. remove poison from
toxication,none
intoxicate,"v. make drunk (with alcoholic drinks)
v. have an intoxicating effect on, of a drug"
submerge,"v. sink below the surface; go under or as if under water
v. cover completely or make imperceptible
v. put under water"
