precise,a. sharply exact or accurate or delimited
remove ... from ...,none
be responsible for,none
fall behind,none
turn around,"n. time need to prepare a vessel or ship for a return trip
n. an area sufficiently large for a vehicle to turn around
n. act or process of unloading and loading and servicing a vessel or aircraft for a return trip"
be ashamed of,none
pay back,n. financial return or reward (especially returns equal to the initial investment)
look out,"n. a person employed to keep watch for some anticipated event
n. an elevated post affording a wide view
n. a structure commanding a wide view of its surroundings
n. the act of looking out"
pass by,none
so as to,none
leave out,none
run away,"n. an easy victory
s. completely out of control"
tire out,none
look ahead,none
in advance,none
believe in,none
react to,none
put ... into ...,none
on average,none
roll over,n. the act of changing the institution that invests your pension plan without incurring a tax penalty
take in,n. the act of taking in as by fooling or cheating or swindling someone
long before,none
pass on,none
lead to,none
push over,n. someone who is easily taken advantage of
appeal to,none
stick out,none
infer from,none
rely on,none
in practice,none
persist in,none
throw off,n. A start in a hunt or a race.
give away,"n. a gift of public land or resources for the private gain of a limited group
n. an unintentional disclosure"
learn about,none
learn of,none
belong to,none
on condition that,none
tear up,none
approve of,none
make the best of,none
by accident,none
adapt to,none
take the lead,none
on the contrary,none
other than,none
give off,none
leave behind,none
result from,none
turn a blind eye to,none
refer to,none
divide ... into ...,none
take ... into account,none
go against,none
pass through,n. an opening that resembles a window between two rooms (especially a shelved opening between a kitchen and dining room that is used to pass dishes)
pile up,n. multiple collisions of vehicles
above all,none
benefit from,none
hunt for,none
tell a lie,none
reflect on,none
stand by,"n. One who, or that which, stands by one in need; something
   upon which one relies for constant use or in an emergency."
complain about,none
complain of,none
look forward to,none
call at,none
work out,n the activity of exerting your muscles in various ways to keep fit
stick to,none
be supposed to,none
figure out,none
set out,"n. A display, as of plate, equipage, etc.; that which is
   displayed."
keep up with,none
turn in,none
take up,"n. any of various devices for reducing slack (as in a sewing machine) or taking up motion (as in a loom)
n. the action of taking up as by tightening or absorption or reeling in"
in spite of,none
set off,"n. That which is set off against another thing; an offset.
n. That which is used to improve the appearance of anything;
   a decoration; an ornament.
n. A counterclaim; a cross debt or demand; a distinct claim
   filed or set up by the defendant against the plaintiff's demand.
n. Same as Offset, n., 4.
n. See Offset, 7."
waste ... on sth.,none
object to,none
change into,none
agree with,none
even if,none
even though,none
put down,n. a crushing remark
