counteract,v. oppose and mitigate the effects of by contrary actions
frown,"n. a facial expression of dislike or displeasure
v. look angry or sullen, wrinkle one's forehead, as if to signal disapproval"
frustrate,"v hinder or prevent (the efforts, plans, or desires) of
v treat cruelly"
furious,"s marked by extreme and violent energy
s marked by extreme anger
s (of the elements) as if showing violent anger"
glamor,n. alluring beauty or charm (often with sex-appeal)
goodwill,"n (accounting) an intangible asset valued according to the advantage or reputation a business has acquired (over and above its tangible assets)
n the friendly hope that something will succeed
n a disposition to kindness and compassion"
grieve,"v. feel grief
v. cause to feel sorrow"
grim,s. not to be placated or appeased or moved by entreaty
grin,"v. to draw back the lips and reveal the teeth, in a smile, grimace, or snarl"
guilty,"a. responsible for or chargeable with a reprehensible act
s. showing a sense of guilt"
harsh,"s. unpleasantly stern
s. disagreeable to the senses
s. unkind or cruel or uncivil
s. severe"
homesick,s. longing to return home
humour,"n a characteristic (habitual or relatively temporary) state of feeling
n a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter
n (Middle Ages) one of the four fluids in the body whose balance was believed to determine your emotional and physical state
n the liquid parts of the body
n the quality of being funny
n the trait of appreciating (and being able to express) the humorous
v put into a good mood"
hurl,"n. a violent throw
v. throw forcefully
v. utter with force; utter vehemently"
ignorant,"s. uneducated in general; lacking knowledge or sophistication
s. uneducated in the fundamentals of a given art or branch of learning; lacking knowledge of a specific field
s. unaware because of a lack of relevant information or knowledge"
keen,"n. a funeral lament sung with loud wailing
s. having a sharp cutting edge or point"
loath,s. unwillingness to do something contrary to your custom
logical,a. capable of or reflecting the capability for correct and valid reasoning
marvellous,"s extraordinarily good or great; used especially as intensifiers
s being or having the character of a miracle
s too improbable to admit of belief"
mature,"v. develop and reach maturity; undergo maturation
v. develop and work out fully in one's mind
v. become due for repayment
a. characteristic of maturity"
mild,a. moderate in type or degree or effect or force; far from extreme
mock,"n. the act of mocking or ridiculing
v. treat with contempt
v. imitate with mockery and derision
s. constituting a copy or imitation of something"
mood,n. verb inflections that express how the action or state is conceived by the speaker
naive,"a. marked by or showing unaffected simplicity and lack of guile or worldly experience
s. inexperienced"
nasty,"a. offensive or even (of persons) malicious
s. exasperatingly difficult to handle or circumvent"
niggle,"v worry unnecessarily or excessively
v argue over petty things"
obscene,s. designed to incite to indecency or lust
perception,"n. a way of conceiving something
n. the process of perceiving
n. knowledge gained by perceiving"
reliable,a. worthy of reliance or trust
reluctant,"s. disinclined to become involved
s. not eager"
revulsion,n intense aversion
seek,"n. the movement of a read/write head to a specific data track on a disk
v. try to get or reach
v. go to or towards
v. inquire for"
self-esteem,n. a feeling of pride in yourself
shrewd,"s marked by practical hardheaded intelligence
s used of persons"
slender,"s. being of delicate or slender build
s. very narrow
s. having little width in proportion to the length or height
s. small in quantity"
slight,"v. pay no attention to, disrespect"
slim,"v take off weight
s being of delicate or slender build
s small in quantity"
smart,"n. a kind of pain such as that caused by a wound or a burn or a sore
a. showing mental alertness and calculation and resourcefulness
s. painfully severe
s. quick and brisk"
snap,"n. a spell of cold weather
n. the noise produced by the rapid movement of a finger from the tip to the base of the thumb on the same hand
n. a sudden breaking
n. a fastener used on clothing; fastens with a snapping sound"
sophisticated,"a. having or appealing to those having worldly knowledge and refinement and savoir-faire
s. intellectually appealing"
sorrow,"n. an emotion of great sadness associated with loss or bereavement
n. sadness associated with some wrong done or some disappointment"
stare,"n. a fixed look with eyes open wide
v. fixate one's eyes"
stubborn,a. tenaciously unwilling or marked by tenacious unwillingness to yield
