disastrous,s (of events) having extremely unfortunate or dire consequences; bringing ruin
tackle,"n. the person who plays that position on a football team
n. (American football) a position on the line of scrimmage
n. (American football) grasping an opposing player with the intention of stopping by throwing to the ground
v. seize and throw down an opponent player, who usually carries the ball"
campus,n. a field on which the buildings of a university are situated
perceive,"v. to become aware of through the senses
v. become conscious of"
fluctuate,"v. cause to fluctuate or move in a wavelike pattern
v. move or sway in a rising and falling or wavelike pattern
v. be unstable"
sediment,"n. matter that has been deposited by some natural process
v. deposit as a sediment
v. settle as sediment"
feat,n. a notable achievement
invert,"v. make an inversion (in a musical composition)
v. reverse the position, order, relation, or condition of"
impair,v. make worse or less effective
venue,"n. the scene of any event or action (especially the place of a meeting)
n. in law: the jurisdiction where a trial will be held"
reel,"n. a roll of photographic film holding a series of frames to be projected by a movie projector
n. music composed for dancing a reel
n. winder consisting of a revolving spool with a handle; attached to a fishing rod
n. a lively dance of Scottish Highlanders; marked by circular moves and gliding steps"
menace,"n. something that is a source of danger
n. a threat or the act of threatening
v. express a threat either by an utterance or a gesture
v. act in a threatening manner"
symmetry,"n. (mathematics) an attribute of a shape or relation; exact reflection of form on opposite sides of a dividing line or plane
n. balance among the parts of something"
fret,"n. agitation resulting from active worry
n. an ornamental pattern consisting of repeated vertical and horizontal lines (often in relief)
n. a small bar of metal across the fingerboard of a musical instrument; when the string is stopped by a finger at the metal bar it will produce a note of the desired pitch
v. be agitated or irritated"
recur,"v. happen or occur again
v. return in thought or speech to something"
exquisite,"s. intense or sharp
s. lavishly elegant and refined
s. of extreme beauty"
transient,"n. one who stays for only a short time
n. (physics) a short-lived oscillation in a system caused by a sudden change of voltage or current or load"
envisage,v form a mental image of something that is not present or that is not the case
glide,"n. the activity of flying a glider
v. move smoothly and effortlessly
v. fly in or as if in a glider plane
v. cause to move or pass silently, smoothly, or imperceptibly"
decimal,"n. a number in the decimal system
s. numbered or proceeding by tens; based on ten"
reproach,"n. a mild rebuke or criticism
n. disgrace or shame
v. express criticism towards"
contempt,"n. lack of respect accompanied by a feeling of intense dislike
n. a manner that is generally disrespectful and contemptuous
n. open disrespect for a person or thing
n. a willful disobedience to or disrespect for the authority of a court or legislative body"
preclude,"v. make impossible, especially beforehand"
intimidate,"v. make timid or fearful
v. to compel or deter by or as if by threats"
swamp,"n. low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog
n. a situation fraught with difficulties and imponderables
v. drench or submerge or be drenched or submerged"
infringe,"v go against, as of rules and laws
v advance beyond the usual limit"
eject,"v. put out or expel from a place
v. leave an aircraft rapidly, using an ejection seat or capsule"
henceforth,r. from this time forth; from now on
racket,"n. a loud and disturbing noise
n. an illegal enterprise (such as extortion or fraud or drug peddling or prostitution) carried on for profit
n. a sports implement (usually consisting of a handle and an oval frame with a tightly interlaced network of strings) used to strike a ball (or shuttlecock) in various games
v. make loud and annoying noises"
