textbook,n. a book prepared for use in schools or colleges
spurt,v. gush forth in a sudden stream or jet
stagnation,"n. a state of inactivity (in business or art etc)
n. inactivity of liquids; being stagnant; standing still; without current or circulation"
stamina,n. enduring strength and energy
stance,n. standing posture
startle,"n. a sudden involuntary movement
v. to stimulate to action
v. move or jump suddenly, as if in surprise or alarm"
strain,"n. (physics) deformation of a physical body under the action of applied forces
n. (psychology) nervousness resulting from mental stress
n. injury to a muscle (often caused by overuse); results in swelling and pain
n. an intense or violent exertion"
strenuous,s. characterized by or performed with much energy or force
strengthen,"v. make strong or stronger
v. gain strength"
stunning,"s. causing great astonishment and consternation
s. causing or capable of causing bewilderment or shock or insensibility
s. strikingly beautiful or attractive"
submerge,"v. sink below the surface; go under or as if under water
v. cover completely or make imperceptible
v. put under water"
subtly,r. in a subtle manner
substantiate,"v. solidify, firm, or strengthen"
superficially,r. in a superficial manner
supplant,v. take the place or move into the position of
supersede,v take the place or move into the position of
suspicion,"n. the state of being suspected
n. being of a suspicious nature"
synthesize,"v. combine so as to form a more complex, product
v. combine and form a synthesis"
systematically,r. in a systematic or consistent manner
tangible,"a. perceptible by the senses especially the sense of touch
a. (of especially business assets) having physical substance and intrinsic monetary value"
technically,"r. with regard to technique
r. with regard to technical skill and the technology available
r. according to the exact meaning; according to the facts"
term,"n. a word or expression used for some particular thing
n. a limited period of time
n. any distinct quantity contained in a polynomial
n. one of the substantive phrases in a logical proposition"
tending,"n the work of providing treatment for or attending to someone or something
v have a tendency or disposition to do or be something; be inclined
v have care of or look after
v manage or run
s (usually followed by `to') naturally disposed toward"
thrill,"n. something that causes you to experience a sudden intense feeling or sensation
v. cause to be thrilled by some perceptual input
v. feel sudden intense sensation or emotion"
timid,"n. people who are fearful and cautious
a. showing fear and lack of confidence"
trait,n. a distinguishing feature of your personal nature
traumatic,"a. of or relating to a physical injury or wound to the body
s. psychologically painful;"
trivial,s. concerned with trivialities
turbulent,"s characterized by unrest or disorder or insubordination
s (of a liquid) agitated vigorously; in a state of turbulence"
undesirable,"n. one whose presence is undesirable
a. not wanted
s. not worthy of being chosen (especially as a spouse)"
undisputed,s. generally agreed upon; not subject to dispute
unfavorable,"a. not encouraging or approving or pleasing
a. (of winds or weather) tending to hinder or oppose
s. not favorable"
valuable,"n. something of value
a. having great material or monetary value especially for use or exchange
s. having worth or merit or value"
verify,"v. confirm the truth of
v. attach or append a legal verification to (a pleading or petition)"
viable,s. capable of life or normal growth and development
viability,"n. (of living things) capable of normal growth and development
n. capable of being done in a practical and useful way"
virtue,"n. the quality of doing what is right and avoiding what is wrong
n. morality with respect to sexual relations
n. a particular moral excellence"
vitality,n. an energetic style
vocation,"n the particular occupation for which you are trained
n a body of people doing the same kind of work"
warning,"n. a message informing of danger
n. notification of something, usually in advance"
withstand,"v resist or confront with resistance
v stand up or offer resistance to somebody or something"
witness,"n. someone who sees an event and reports what happened
n. testimony by word or deed to your religious faith
n. (law) a person who attests to the genuineness of a document or signature by adding their own signature
n. (law) a person who testifies under oath in a court of law"
