a,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen"
fix one's eyes on,none
fix one's eyes upon,none
focus on,none
follow up,"n. a piece of work that exploits or builds on earlier work
n. an activity that continues something that has already begun or that repeats something that has already been done
n. a subsequent examination of a patient for the purpose of monitoring earlier treatment"
fool around,none
for a start,none
for a while,none
for ages,"n bulky food like grass or hay for browsing or grazing horses or cattle
n the act of searching for food and provisions
v collect or look around for (food)
v wander and feed"
for example,none
for instance,none
for free,none
for good,none
for sale,none
for short,none
for sure,none
for the first time,none
for the moment,none
for the sake of,none
for the time being,none
frankly speaking,none
free of charge,none
from beginning to end,none
from now on,none
from then on,none
from ... on,none
from place to place,none
from that moment on,none
from the bottom of one's heart,none
from time to time,none
gain weight,none
generally speaking,none
get across,none
get along,none
get along with,none
get around,none
get about,none
get away with,none
get close to,none
get down to sth.,none
get hold of,none
get in touch,none
get into,none
get into trouble,none
get involved in,none
get off,none
get on,none
get one's mind off,none
get out of,none
get out of control,none
get rid of,none
get round,none
get the hang of,none
get through,none
get tired of,none
be tired of,none
give away,"n. a gift of public land or resources for the private gain of a limited group
n. an unintentional disclosure"
give back,none
give birth to,none
give concerts,none
give in,none
give life to,none
give off,none
give out,none
give sb. a life,none
give up,none
glance through,none
glare at,none
go about,none
go against,none
go ahead,"n a signal to proceed
n readiness to embark on bold new ventures"
go by,"n. A passing without notice; intentional neglect; thrusting
   away; a shifting off; adieu; as, to give a proposal the go-by."
go down,n. (in India and Malaysia) a warehouse
go fishing,none
go skating,none
go bowling,none
go camping,none
go into detail,none
go off,none
go on,"n an awkward stupid person
n an aggressive and violent young criminal"
go on a diet,none
go out,none
go through,none
go to college,none
go up,none
grow up,none
hand over,n. act of relinquishing property or authority etc
hang on,none
hang on a second,none
have a gift for,none
have a go,none
have a link with,none
have a population of,none
have a say,none
have a temperature,none
have an appetite for,none
have an effect on,none
have an influence on,none
have connection with,none
have difficulty doing sth.,none
have difficulty in doing sth.,none
have faith in,none
have fun,none
have fun with,none
have ... in common,none
have mercy on,none
have power over,none
have to,none
have got to,none
head over heels in love,none
hear from,none
help out,none
help ... out,none
hold back,"n. Check; hindrance; restraint; obstacle.
n. The projection or loop on the thill of a vehicle. to
   which a strap of the harness is attached, to hold back a carriage when
   going down hill, or in backing; also, the strap or part of the harness
   so used."
hold one's breath,none
hold out,"n. a negotiator who hopes to gain concessions by refusing to come to terms
n. a refusal by a negotiator to come to terms in the hope of obtaining a better deal
n. the act of hiding playing cards in a gambling game so they are available for personal use later"
hold up,"n robbery at gunpoint
n the act of delaying; inactivity resulting in something being put off until a later time"
hunt for,none
I bet,none
if necessary,none
if only,none
in a flash,none
in a nutshell,none
in a rush,none
in a ... voice,none
in a way,none
in accordance with,none
in addition,none
in addition to,none
in advance,none
in all,none
in amazement,none
in case,"v enclose in, or as if in, a case"
in case of,none
in cash,none
in celebration of,none
in chaos,none
in charge,none
in charge of,none
in colour,none
in conclusion,none
in contact with,none
in contrast,none
in danger,none
in debt,"v. t. To bring into debt; to place under obligation; --
   chiefly used in the participle indebted."
in defence of,none
in detail,none
in disguise,none
in exchange for,none
in fact,none
in reality,none
in favour of,none
in general,none
in good condition,none
in poor condition,none
in good spirits,none
in harmony with,none
in history,none
in honour of,none
in hospital,none
in large numbers,none
in large quantities,none
in memory of,none
in my view,none
in my opinion,none
in need,none
in want,none
in need of,none
in want of,none
in no time,none
