a,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen"
write,"v. produce a literary work
v. communicate or express by writing
v. communicate (with) in writing
v. communicate by letter"
writer,"n. writes (books or stories or articles or the like) professionally (for pay)
n. a person who is able to write and has written something"
wrong,"n. that which is contrary to the principles of justice or law
n. any harm or injury resulting from a violation of a legal right
v. treat unjustly; do wrong to
a. contrary to conscience or morality or law"
yard,"n. a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride
n. the enclosed land around a house or other building
n. a tract of land enclosed for particular activities (sometimes paved and usually associated with buildings)
n. a tract of land where logs are accumulated"
year,"n. a period of time containing 365 (or 366) days
n. a period of time occupying a regular part of a calendar year that is used for some particular activity
n. the period of time that it takes for a planet (as, e.g., Earth or Mars) to make a complete revolution around the sun"
yellow,"n. yellow color or pigment; the chromatic color resembling the hue of sunflowers or ripe lemons
v. turn yellow
s. of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk
s. changed to a yellowish color by age"
yes,n. an affirmative
yesterday,"n. the day immediately before today
n. the recent past
r. on the day preceding today
r. in the recent past; only a short time ago"
you,"dat. & obj. The pronoun of the second person, in the nominative,
   dative, and objective case, indicating the person or persons addressed.
   See the Note under Ye."
young,"n. any immature animal
n. United States film and television actress (1913-2000)
n. United States civil rights leader (1921-1971)
n. British physicist and Egyptologist; he revived the wave theory of light and proposed a three-component theory of color vision; he also played an important role in deciphering the hieroglyphics on the Rosetta Stone (1773-1829)"
your,"pron. & a. The form of the possessive case of the personal
   pronoun you."
yours,pron. See the Note under Your.
yourself,"pron. An emphasized or reflexive form of the pronoun of the
   second person; -- used as a subject commonly with you; as, you yourself
   shall see it; also, alone in the predicate, either in the nominative or
   objective case; as, you have injured yourself."
zebra,n. any of several fleet black-and-white striped African equines
zero,"n. a mathematical element that when added to another number yields the same number
n. the point on a scale from which positive or negative numerical quantities can be measured
n. the sight setting that will cause a projectile to hit the center of the target with no wind blowing
v. adjust (an instrument or device) to zero value"
zoo,n the facility where wild animals are housed for exhibition
a bit, 3d sing. pres. of Abide.
a bit of,none
a few,none
a kind of,none
a little,none
a lot of,none
a pair of,none
a piece of,none
after school,s outside regular school hours
all around,s. many-sided
all over,s covering the entire surface
all right,none
all the time,none
as soon as,none
ask for,none
at first,none
at last,none
at home,none
at once,none
be afraid of,none
be angry with sb.,none
be different from,none
be fond of,none
be good at,none
be interested in,none
be proud of,none
borrow sth. from sb.,none
by bus,none
by air,none
by train,none
by ship,none
by the way,none
call back,"n. a return call
n. the recall of an employee after a layoff"
call for,none
call on,none
care for,none
catch a cold,none
catch cold,none
cheer up,none
come back,n. return by a celebrity to some previously successful activity
come from,none
come in,none
come out,none
do one's best,none
do some shopping,none
each other,none
enjoy oneself,none
excuse me,none
fall asleep,none
find out,none
fly away,s. (of hair or clothing) worn loose
for ever,r. for a very long or seemingly endless time
