criticize,v. act as a critic
generate,"v. bring into existence
v. produce (energy)"
ethic,"n. the principles of right and wrong that are accepted by an individual or a social group
n. a system of principles governing morality and acceptable conduct"
admit,"v. declare to be true or admit the existence or reality or truth of
v. allow to enter; grant entry to
v. allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of
v. afford possibility"
regardless,r. in spite of everything; without regard to drawbacks
statesman,n. a man who is a respected leader in national or international affairs
political,"a. involving or characteristic of politics or parties or politicians
a. of or relating to your views about social relationships involving authority or power
a. of or relating to the profession of governing"
depend,v. be contingent upon (something that is elided)
hand,"n. the (prehensile) extremity of the superior limb
n. ability
n. a position given by its location to the side of an object
n. the cards held in a card game by a given player at any given time"
inflate,"v. exaggerate or make bigger
v. fill with gas or air
v. cause prices to rise by increasing the available currency or credit
v. increase the amount or availability of, creating a rise in value"
empirical,a. derived from experiment and observation rather than theory
universality,n. the quality of being universal; existing everywhere
trait,n. a distinguishing feature of your personal nature
result from,none
imagination,"n. the formation of a mental image of something that is not perceived as real and is not present to the senses
n. the ability to form mental images of things or events"
at the mercy of,none
drought,"n. a shortage of rainfall
n. a prolonged shortage"
fascinating,"v cause to be interested or curious
v to render motionless, as with a fixed stare or by arousing terror or awe
v attract; cause to be enamored
s capable of arousing and holding the attention
s capturing interest as if by a spell"
profitably,r in a productive way
apply,"v. be pertinent or relevant or applicable
v. ask (for something)
v. refer (a word or name) to a person or thing
v. apply oneself to"
range,"n. the limits within which something can be effective
n. a large tract of grassy open land on which livestock can graze
n. a series of hills or mountains
n. a place for shooting (firing or driving) projectiles of various kinds"
logistics,n. handling an operation that involves providing labor and materials be supplied as needed
initiative,"n readiness to embark on bold new ventures
n the first of a series of actions
s serving to set in motion"
financial,a involving financial matters
incentive,n. a positive motivational influence
promising,s. showing possibility of achievement or excellence
