accomplishment,n. the action of accomplishing something
enterprising,"a. marked by imagination, initiative, and readiness to undertake new projects"
ephemeral,s. lasting a very short time
eruption,"n. symptom consisting of a breaking out and becoming visible
n. (of volcanos) pouring out fumes or lava (or a deposit so formed)
n. the emergence of a tooth as it breaks through the gum"
essay,"n. an analytic or interpretive literary composition
n. a tentative attempt"
execute,"v. kill as a means of socially sanctioned punishment
v. murder in a planned fashion
v. carry out the legalities of
v. sign in the presence of witnesses"
expose,"n. the exposure of an impostor or a fraud
v. expose or make accessible to some action or influence
v. to show, make visible or apparent
v. expose to light, of photographic film"
familiar,"n. a person attached to the household of a high official (as a pope or bishop) who renders service in return for support
n. a spirit (usually in animal form) that acts as an assistant to a witch or wizard
a. well known or easily recognized
a. within normal everyday experience; common and ordinary; not strange"
far-fetched,s. highly imaginative but unlikely
firm,"n. the members of a business organization that owns or operates one or more establishments
s. marked by firm determination or resolution; not shakable
s. not soft or yielding to pressure
s. strong and sure"
flap,"n. any broad thin and limber covering attached at one edge; hangs loose or projects freely
n. the motion made by flapping up and down
n. a movable piece of tissue partly connected to the body
n. a movable airfoil that is part of an aircraft wing; used to increase lift or drag"
flux,"n. the rate of flow of energy or particles across a given surface
n. a flow or discharge
n. a substance added to molten metals to bond with impurities that can then be readily removed
n. excessive discharge of liquid from a cavity or organ (as in watery diarrhea)"
fort,"v. gather in, or as if in, a fort, as for protection or defense
v. station (troops) in a fort"
giraffe,n. tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa
grazing,n. the act of brushing against while passing
harmonic,"n. a tone that is a component of a complex sound
n. any of a series of musical tones whose frequencies are integral multiples of the frequency of a fundamental
a. of or relating to harmony as distinct from melody and rhythm
a. of or relating to harmonics"
ideomotor,none
idyllic,"s. excellent and delightful in all respects
s. suggestive of an idyll; charmingly simple and serene"
illustrate,"v. depict with an illustration
v. supply with illustrations"
inclination,"n. an attitude of mind especially one that favors one alternative over others
n. (astronomy) the angle between the plane of the orbit and the plane of the ecliptic stated in degrees
n. (geometry) the angle formed by the x-axis and a given line (measured counterclockwise from the positive half of the x-axis)
n. that toward which you are inclined to feel a liking"
instinct,"n. inborn pattern of behavior often responsive to specific stimuli
s. (followed by `with')deeply filled or permeated"
introduction,"n. the act of beginning something new
n. the first section of a communication
n. a basic or elementary instructional text
n. a new proposal"
ironic,s. characterized by often poignant difference or incongruity between what is expected and what actually is
luxury,"n. something that is an indulgence rather than a necessity
n. wealth as evidenced by sumptuous living"
lyric,"n. the text of a popular song or musical-comedy number
n. a short poem of songlike quality
v. write lyrics for (a song)
s. expressing deep emotion"
mantle,"n. the cloak as a symbol of authority
n. United States baseball player (1931-1997)
n. the layer of the earth between the crust and the core
n. (zoology) a protective layer of epidermis in mollusks or brachiopods that secretes a substance forming the shell"
