Abacavir,"n. 【药】阿巴卡韦
[网络] 阿巴卡伟；阿巴卡韦及片；阿卡维尔"
residual,"a. 残渣的, 剩余的
n. 残渣, 剩余, 余数"
residue,"n. 残渣, 剩余, 余数
[化] 残基; 残渣; 残液; 釜液"
resign,"v. 重新签署
[网络] 续签；再签名；再签署"
resilience,"n. 弹回, 有弹力, 恢复力
[化] 回弹; 弹性; 弹回性; 回能; 弹能"
resist,"vi. 抵抗，抗拒；忍耐
vt. 抵抗；忍耐，忍住
n. [助剂] 抗蚀剂；防染剂"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
[化] 抵抗; 抗性; 阻力; 抗药性; 电阻"
resistant,"adj. 抵抗的，反抗的；顽固的
n. 抵抗者"
resolute,"n. 果断的人
a. 坚决的, 刚毅的, 毅然的"
resolution,[网络] 再溶解；稀土溶液
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
resonance,"n. 共鸣, 回声, 反响, 谐振, 共振
[化] 共振; 共鸣"
resonant,"a. 共鸣的, 反响的, 洪亮的, 共振的
[医] 反响的, 叩响的, 共鸣的, 共振的"
resorb,v. 再吸收
resort,vt. 使再分类
resources,资源;储藏
respect,[网络] 尊重
respectively,"adv. 各自地, 独自地, 个别地, 分别地"
respiration,"n. 呼吸, 一口气, 呼吸作用
[化] 呼吸"
respirator,"n. 口罩, 防毒面具, 人工呼吸装置
[化] 防尘面罩; 防毒面罩"
respiratory,"a. 呼吸的
[医] 呼吸的"
respite,"n. 暂缓, 缓期执行
vt. 使暂缓"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
responder,"n. 回答者, 响应者, 响应器, 应答机
[计] 响应站, 应答机"
response,"n. 反应, 回答, 响应
[计] 应答"
responsible,"a. 有责任的, 负责的, 责任重大的
[法] 应负责任的, 有责任的, 能履行责任的"
responsive,"a. 回答的, 应答的, 易感应的"
restlessness,n. 坐立不安；不安定
restoration,"n. 恢复, 归还, 复位
[医] 恢复, 康复, 复位, 回复, 修复"
restore,[网络] 再储藏；恢复
restraint,"n. 抑制, 克制, 束缚
[医] 约束, 拘束"
restrict,"vt. 限制, 限定, 约束
[医] 限制"
restricted,"a. 受限制的, 有限的"
restriction,"n. 限制, 限定, 约束
[计] 限定"
resume,[网络] 恢复
resumption,"n. 取回, 恢复, 再开始
[经] 再取回, 恢复, 重新占用"
resuscitate,"v. (使)复苏, (使)复兴"
resuscitation,"n. 复生, 复兴
[医] 复苏[术], 回生"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
[经] 保留, 留存"
retard,"vt. 延迟；阻止；妨碍；使减速
vi. 减慢；受到阻滞
n. 延迟；阻止"
retardant,"n. 抑止剂
[机] 阻滞剂"
retardation,"n. 迟延, 妨碍, 阻止
[化] 缓聚作用"
retardate,"n. 白痴, 低能者
[法] 白痴"
retch,"vi. 作呕, 反胃
vt. 呕吐
n. 反胃, 呕吐声"
retention,"n. 保持, 留置, 保留, 保持力, 保留物, 记忆, 停滞, 固位
[计] 保贸, 保持"
reticulocyte,网状红血球
reticulocytopenia,[医] 网状细胞减少
reticulocytosis,n. [医] 网状细胞(旧名网织红血球)过多症
reticuloendothelial,"a. 网状内皮组织的
[医] 网状内皮的"
reticulonodular,[网络] 网目斑点状
reticulum,"n. 网状质, 网状组织, 蜂巢胃
[医] 网, 网状组织, 蜂窝胃(反刍动物第二胃)"
retina, 全反维生素A酸
retinal,"a. 视网膜的
[化] 视黄醛"
retinitis,"n. 视网膜炎
[医] 视网膜炎"
retinoblastoma,n. [医] 眼癌(有遗传性)
retinochoroiditis,视网膜脉络膜炎
retinoid,"[医] 视网膜样的, 树脂样的"
retinol,"[医] 维生素A醇, 维生素A1, 瑞叮醇, 松香油"
retinopathy,[医] 视网膜病
retraction,"n. 缩进, 撤回
[医] 退缩, 缩回"
retrieval,"n. 取回, 恢复, 检索
[计] 检索"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
[计] 检索"
retrograde,"a. 后退的, 倒退的, 退步的
vi. 倒退, 退步, 回顾"
retrogress,"vi. 倒退, 退化, 退步"
retroperitoneal,腹膜后位
retroperitoneum,[医] 腹膜后腔
retropharyngeal,[医] 咽后的
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
retrospective,"a. 回顾的, 怀旧的, 在后面的
n. 回顾展"
retrotranslocation,[网络] 逆向转移
retrotransposition,反转座作用
retroverted,"a. 子宫后倾的
[医] 后倾的"
retrovirus, [医]逆[转]录病毒（微）
return,[网络] 返回；归回
reuptake, 再摄取
revascularization,n. 血管的再形成
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
resveratrol," [医]白藜芦醇, 3',4',5-三羟（基）芪"
reverberation,"n. 反响, 混响, 反射
[电] 交混回响"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
[计] 反转"
reversibility,"n. 可逆, 可逆性, 两面可用, 两面可用性, 可撤销, 可撤销性
[计] 可逆性"
reversible,"a. 可逆的, 可撤消的
n. 双面可用织物"
reversibly,"adv. 可逆, 两面可用, 可撤销"
revert,"vi. 恢复, 复归, 回复, 还原
vt. 使回复原状, 使回转
n. 恢复原信仰的人
[计] 还原"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
revision,n. [印刷] 修正；复习；修订本
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
rewarding,"a. 有益的, 有报酬的, 报答的"
rhabdomyoblast,[网络] 横纹肌母细胞
rhabdomyoma,n. [医] 横纹肌瘤
rhabdomyosarcoma,[医] 横纹肌肉瘤
rheology,"n. 流变学
[化] 流变学"
rheum,"n. 发炎性分泌物, 鼻粘膜炎, 感冒, 稀粘液, 大黄
[医] 稀粘液"
rheumatic,"a. 风湿病的, 患风湿病的, 风湿病引起的
n. 风湿病患者, 风湿病"
rheumatism,"n. 风湿病
[医] 风湿病"
rheumatoid,"a. 类风湿病的
[医] 风湿病样的"
rheumatologist,[医] 风湿病学家
rheumatology,"n. 风湿病学
[医] 风湿病学"
rhinitis,"n. 鼻炎
[医] 鼻炎"
rhinoplasty,"n. 鼻整形术
[医] 鼻成形术"
rhinorrhea,[医] 鼻[液]溢
rhinovirus,[医] 鼻病毒
rhomboid,n. 长菱形
rhonchus,"n. 鼾音
[医] 干罗音, 鼾音"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
[医] 节律"
rhythmic,"a. 有韵律的, 有节奏的"
rhythmically,adv. 有节奏地
rib,"n. 肋骨, 肋状物, 笑话
vt. 装肋状物于, 戏弄"
ribavirin,[化] 利巴韦林; 三氮唑核苷
riboflavin,"n. 核黄素
[化] 核黄素; 维生素B-2"
ribonuclease,n. [生化]核糖核酸酶
ribonucleic acid,[生化]核糖核酸(略作 RNA)
ribonucleoprotein,[生化]核蛋白( 略作RNP)
ribosomal,a. [生化] 核醣体的
ribosome,"n. 核糖体
[化] 核蛋白体; 核糖核蛋白体; 核糖体"
ribozyme,"n. 核酶, 核糖核酸拟酶, 酶性核糖核酸"
rich,"adj. 富有的；肥沃的；昂贵的
n. (Rich)人名；(丹)里克；(捷)里赫；(英、西)里奇；(葡、法)里什；"
rickets,"n. 佝偻病
[医] 佝偻病"
rickettsia,"n. 立克次氏体
[医] 立克次氏体"
rickettsial,a. [微] 里克次氏体属微生物的
rickettsiosis,[医]立克次体病
rid,[网络] 康威世界；示差折光检测器；琼脂扩散
ridge,"n. 脊, 山脊, 山脉
[医] 嵴, 脊, 棱线"
rifampin,[化] 利福平; 甲哌力复霉素
rifamycin,n. [微]利福霉素(抗结核药)
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
rigidity,"n. 坚硬, 僵化, 坚硬, 刚性, 刚度
[化] 刚度系数"
rigor,"n. 严格, 严厉, 苛刻, 严酷, 严密, 精确
[医] 寒战, 强直, 僵硬"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
ringworm,癣
rinse,"n. 清洗, 染发, 染发剂
vt. 以清水冲洗, 漱, 漂清
vi. 被漂净"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
risky,a. 危险的
ritalin,"[医] 利他林, 苯哌啶醋酸甲酯(商品名)"
RNA,abbr. 核糖核酸（Ribonucleic Acid）；浪漫派小说家协会（Romantic Novelists ' Association）
robot,"n. 机械人, 自动机械, 机械般工作的人
[计] 机器人; 自动机"
robotic,"a. 自动的；机器人的, 像机器人的"
robotics,"[计] 机器人学, 自动机工程学"
robustly,"adv. 要用体力地, 粗鲁地"
rod,"n. 竿, 笞鞭, 小枝
[化] 棒"
rodent,"a. 咬的, 啮齿类的
n. 啮齿动物"
roentgen,伦琴
roentgenogram,"n. 射线照片
[医] X线[照]片"
roentgenographic,"a. 射线拍摄, X射线照相术, X射线拍摄术
[医] X线照相的"
roentgenography,"n. X射线照相术
[医] X线照相术"
rosacea,"[医] 酒渣鼻, 红斑痤疮"
roseola,"n. 风疹, 蔷薇疹
[医] 蔷薇疹, 玫瑰疹"
rosin,"n. 松香, 松脂
vt. 用松香涂"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
[计] 旋转"
rotation,"n. 旋转, 循环, 轮流
[计] 旋转"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
roughly,"adv. 概略地, 粗糙地, 粗暴地"
round-the-clock,连续一整天
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
[计] 传递, 路由设定程序"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
[计] 例程"
routinely,"adv. 日常, 乏味, 常规, 例行"
rubella,"n. 风疹
[医] 风疹"
rubeola,"n. 麻疹
[医] 风疹, 麻疹(旧名)"
rubor,n. （发炎、毛细血管扩大时）皮肤的红色
rudimentary,"a. 基本的, 起码的, 初步的, 发展不完全的, 残留的, 退化的
[医] 原基的, 未成熟的; 残遗的, 已退化的"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
[计] 规则, 水线"
rump,"n. 尾部, 臀部
[医] 臀部, 臀"
rupture,"n. 破裂, 断裂, 裂开, 决裂, 不和
v. (使)破裂"
rural,"a. 乡下的, 田园的, 乡村风味的
[法] 农村的, 乡村的, 有关农业的"
rust,"n. 锈, 生锈, 衰退
vi. 生锈, 衰退
vt. 使生锈, 腐蚀"
sac,[网络] 中国国家标准化管理委员会
saccharin,"n. 糖精
[化] 糖精; 邻磺酰苯甲酰亚胺"
saccharomyces,[单复同]n.[植]酵母
sacral,"a. 祭典的, 圣礼的, 神圣的, 骶骨的
[医] 骶骨的"
sacroiliitis,[医] 骶髂关节炎
sacrum,"n. 骶骨
[医] 骶骨"
safeguard, 安全设备，护轨
safety,"n. 安全, 保险, 平安, 保安设备
vt. 保护, 防护"
safflower,"n. 红花, 红花染料, 红花油
[医] 红花, 草红花"
sag,"vi. 下垂, 倾斜, 萎靡, 萧条, 变得乏味
vt. 使下垂
n. 下垂, 倾斜, 萧条
[计] 系统分析组, 语法分析生成程序, 电压下降"
saikosaponin,"n. 柴胡皂苷
[网络] 柴胡皂甙；柴胡皂素；柴胡皂苷a"
salbutamol,"n. [药]舒喘宁,舒喘灵,嗽必妥,羟甲叔丁肾上腺素,柳丁氨醇"
salicylate,"n. 水杨酸盐
[医] 水杨酸盐, 水杨酸酯"
saline,"a. 盐的, 苦涩的, 由碱金属(或含镁之盐类)组成的
n. 盐湖, 盐田, 碱盐泻药, 生理盐水"
saliva,"n. 唾液, 唾沫, 涎
[医] 涎, 唾液"
salivary,"a. 唾液的, 分泌唾液的
[医] 涎的, 唾液的"
salivate,"vi. 分泌唾液, 流涎
vt. 使分泌唾液"
salivation,"n. 分泌唾液, 汞中毒
[医] 流涎, 多涎"
salmonella,"n. 沙门氏菌
[医] 沙门氏菌属"
salmonellosis,[医] 沙门氏菌病
salpingectomy,"n. 输卵管切除术
[医] 输卵管切除术"
salpingitis,"n. 输卵管炎, 耳咽管炎
[医] 输卵管炎, 咽鼓管炎"
salpingography,n. [医]输卵管造影术
salpingostomy,"n. 输卵管造口术
[医] 输卵管造口[引流]术, 输卵管复通术"
salvage,"n. 海上救助, 抢救, 打捞, 抢救出来的财物
vt. 海上救助, 抢救, 打捞, 营救
[计] 文件恢复程序"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
[计] 示例, 字样"
sampling,"[计] 抽样; 采样
[化] 取样"
sanatorium,"n. 疗养院, 疗养所, 静养地
[医] 疗养院, 疗养所, 疗养站"
sanguisorba,地榆
sanitary,"a. 卫生的
n. 公共厕所"
sanitation,"n. (环境)卫生, 环境卫生的提倡/维持, 卫生设备, 下水道设施, 卫生设施
[医] 环境卫生"
saponin,"[化] 皂草苷
[医] 皂甙, 皂角甙"
saprophytic,"a. 腐生的
[医] 腐物寄生的, 死物寄生的"
sarcoid,"a. 肉质的, 肉状的
[医] 肉样的, 肉样瘤, 类肉瘤"
sarcoidosis,"n. 肉状瘤病, 类肉状瘤病
[医] 肉样瘤病, 类肉瘤病"
sarcoma,"n. 肉瘤
[医] 肉瘤"
sarcomatoid,a. [医]肉瘤样的
sarcomatous,a. [医]肉瘤样的
sarcomere,"n. [生]肌(原纤维)节,肌小节"
sarin,"[化] 沙林
[医] 沙林, 甲氟磷酸异丙酯"
SARS,非典型肺炎（Severe Acute Respiratory Syndromes）
satellite,"n. 人造卫星
[医] 伴行静脉, 陪静脉, 陪病部, 随体, 卫星"
satiation,"n. 饱足, 厌腻, 满足
[医] 满足, 饱满"
satiety,"n. 满足, 饱食, 厌腻
[医] 饱满感"
satisfactorily,adv. 令人满意地
satisfactory,"a. 满意的, 赎罪的
[法] 令人满意的, 令当事人满意的, 充分的"
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
saturable,"a. 可饱和的, 能浸透的"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
saturation,"n. 饱和, 渗透, 浸透, 色饱和度
[计] 饱和度"
sausage,"n. 香肠, 腊肠"
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
[计] 保存"
scab,"n. 痂, 恶棍, 工贼
vi. 结痂, 当工贼"
scaffold,"n. 脚手架, 绞刑台
[化] 脚手架"
scald,"n. 烫伤, 烫洗
v. 烫伤, 烫洗"
scalding,"a. 滚烫的, 将近沸腾的, 沸腾的, 灼人的, 尖锐辛辣的
[化] 烫伤"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
[计] 刻度"
scalp,"v. 剥头皮
n. 头皮, 战利品"
scalpel,"n. 解剖刀
vt. 用解剖刀切开"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
[计] 网络软件目录, 编码与分析系统"
scanner,"n. 扫描仪, 扫描盘, 审视者
[计] 扫描器; 词法分析程序; 扫描程序; 扫视程序"
scanning,[电子] 扫描
scant,"a. 不充分的, 不足的
vt. 减少, 吝啬, 限制, 藐视, 忽略"
scanty,"a. 缺乏的, 仅有的, 不够的, 狭小的, 吝啬的"
scar,[网络] S号汽车
scarce,"a. 难得的, 稀罕的, 缺乏的"
scarcely,"adv. 简直不, 一定不, 仅仅"
scarlet,"n. 猩红色, 绯红色, 红衣
a. 绯红色的, 鲜红色的"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
[计] 散点图"
scavenger,"n. (英)清道夫, 清扫工, 拾垃圾的人, 清除剂, 净化剂, 食腐动物, 黄色作家
[计] 清除器"
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
[计] 方案"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
schisandrin,[网络] 五味子醇甲；五味子乙素；五味子素
schistosome,"n. 血吸虫, 裂体吸虫
a. 血吸虫的"
schistosomiasis,"n. 血吸虫病
[医] 血吸虫病"
schizont,n. [生](孢子虫的)裂殖体
schizophrenia,"n. 精神分裂症
[医] 精神分裂症"
schizophrenic,"adj. 精神分裂症的
n. 精神分裂症的患者"
schizophreniform,"a. [心]精神分裂症样的,分裂样的"
scholarship,"n. 学问, 学术成就, 奖学金"
schwannoma,[医] 神经鞘瘤
sciatic,"a. 髋部的, 坐骨的, 坐骨神经的
[医] 坐骨的"
sciatica,"n. 坐骨神经痛
[医] 坐骨神经痛"
scintigraphy,n. [特医] 闪烁扫描术
scintillation,"n. 【天,物】闪烁(现象)；闪光；放射闪光；(才气的)焕发
[网络] 火花；灿惑；闪烁现象"
scirrhous,"a. 硬癌的
[医] 硬癌的"
scissors,"pl. 剪刀
[医] 剪"
sclera,"n. 巩膜
[医] 巩膜"
sclerite,[医] 甲片(昆虫)
scleritis,n. [医]巩膜炎
sclerodactyly,[医] 指(趾)硬皮病
scleroderma,"n. 硬皮病
[医] 硬皮马勃属(担子菌)"
scleromalacia,"[医] 巩膜软化, 变形性骨炎"
sclerosis,"n. 硬化症, 硬化, 僵化
[医] 硬化"
sclerotherapy,[医] 硬化疗法
scoliosis,[医] 脊柱侧凸
scopolamine,n. 东莨菪碱(可用做镇静剂)
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
[计] 得分"
scotoma,"n. 暗点, 盲点
[医] 暗点, 盲点"
scout,"n. 守候, 侦察, 搜索, 侦察员, 侦察机
vi. 守候, 侦察, 巡视, 嘲笑
vt. 侦察, 跟踪, 发现, 监视, 嘲弄"
scrape,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境
vi. 刮掉, 擦掉, 刮出刺耳声
vt. 刮, 擦, 擦伤, 挖成, 积蓄"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
[计] 擦除"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
[计] 筛选; 屏幕"
screening,"[医] 筛选, 筛分(如普查癌、结核等病), 萤光屏检查"
scrotum,"n. 阴囊
[医] 阴囊"
scrub,"n. 用力擦洗, 矮树, 矮人, 渺小之物
vt. 用力擦洗, 擦掉, 摩擦
vi. 擦洗干净, 进行手臂消毒
a. 次等的, 矮小的, 非正规球队的, 临时凑合的"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
[经] 复查, 评核, 仔细检查"
scurvy,"a. 下流的, 卑鄙的, 无礼的
n. 坏血病"
seal,[网络] 那太简单了
sealer,"[计] 密封层, 密封器
[化] 表面保护层"
search,"n. 搜寻, 查究
v. 搜寻, 搜查, 探求, 调查, 搜索
[计] 搜索, 路径检索程序"
seasickness,[医] 晕船
sebaceous,"a. 脂肪的, 脂肪质的, 分泌脂肪的
[医] 皮脂的, 分泌脂质的"
